edacc_EDACC-C23_P1_617	i do not like to call it on rational because that is like you know we already
edacc_EDACC-C23_P2_682	yeah because you do have me like another stop as soon as you are next
edacc_EDACC-C21_2580	please transcribe the speech to text
edacc_EDACC-C21_2603	so if i keep going like anywhere right now it probably still makes it go it would still be my number one i just really really want to go there but there is a few islands for surfing that i would go to if it was cheaper 0 i
edacc_EDACC-C26_2985	well i remember mario bros of course because that one was classic but i think i have not heard about starflux i do not i never played that one was it about
edacc_EDACC-C26_3003	for sure without any question my favorite movie my childhood favorite movie was toy story 2
edacc_EDACC-C26_3027	yeah the same with the track
edacc_EDACC-C37_P1_3580	maybe this could be the name of the movie or maybe a director i do not know
edacc_EDACC-C37_P2_3681	i am really afraid if i take no not sure if i go ill with my throat and i think it is
voxpopuli_20151027-0900-PLENARY-12-en_20151027-17:00:29_2	the last 55 times the uk tried to oppose the measure in the council of winniacists were voted down 55 out of 55 times
voxpopuli_20090325-0900-PLENARY-4-en_20090325-12:47:54_0	i have an oral amendment here which would be the deletion on this amendment too the deletion of the last sentence just for the sake of accuracy because it is not accurate anymore we would delete the sentence which
voxpopuli_20091124-0900-PLENARY-19-en_20091124-23:42:46_4	europe is an exquisite model of good practice which gives the possibility to smaller official languages to be treated on an equal footing
voxpopuli_20190918-0900-PLENARY-en_20190918-11:01:23_1	for all those ¢6 what mister farash called a clean break brexit it is a very very dirty brexit indeed there a situation
voxpopuli_20110705-0900-PLENARY-9-en_20110705-17:39:28_2	the diversity in the eu also means that 1000000s of european citizens have as the mother tongue a language which is not recognized in this parliament
voxpopuli_20180207-0900-PLENARY-17-en_20180207-18:15:09_5	also enhances the presumption of innocence regarding their respect which is due by the members of the parliament who are persecuted and finally it is important to break
voxpopuli_20151006-0900-PLENARY-15-en_20151006-20:06:45_1	please transcribe the speech to text
